 # Jupiter model, Ptrans=7 Mbar, rock core 
 # m/Mp         P (GPa)    r/Rmean   T(K)   rho(g/ccm)
 0.9991426845   0.681746   0.98330  2200.4  0.0619084 
 0.9991359056   0.687238   0.98325  2204.8  0.0621943 
 0.9991290960   0.692755   0.98320  2209.2  0.0624806 
 0.9991222559   0.698299   0.98315  2213.6  0.0627672 
 0.9991153851   0.703869   0.98310  2218.1  0.0630542 
 0.9991084838   0.709464   0.98305  2222.5  0.0633377 
 0.9991015524   0.715085   0.98300  2226.9  0.0636195 
 0.9990945910   0.720732   0.98295  2231.3  0.0639016 
 0.9990875995   0.726404   0.98290  2235.7  0.0641840 
 0.9990805777   0.732101   0.98285  2240.2  0.0644671 
 0.9990735258   0.737825   0.98280  2244.6  0.0647514 
 0.9990664435   0.743574   0.98275  2248.9  0.0650360 
 0.9990593309   0.749349   0.98270  2253.3  0.0653209 
 0.9990521878   0.755150   0.98265  2257.7  0.0656061 
 0.9990450144   0.760977   0.98260  2262.1  0.0658916 
 0.9990378105   0.766830   0.98255  2266.4  0.0661775 
 0.9990305762   0.772709   0.98250  2270.8  0.0664637 
 0.9990233114   0.778614   0.98245  2275.2  0.0667501 
 0.9990160160   0.784544   0.98240  2279.5  0.0670369 
 0.9990086901   0.790501   0.98235  2283.9  0.0673240 
 0.9990013336   0.796484   0.98230  2288.2  0.0676115 
 0.9989939466   0.802493   0.98225  2292.5  0.0678992 
 0.9989865289   0.808528   0.98220  2296.9  0.0681872 
 0.9989790805   0.814590   0.98215  2301.2  0.0684756 
 0.9989716014   0.820677   0.98210  2305.5  0.0687642 
 0.9989640917   0.826791   0.98205  2309.8  0.0690532 
 0.9989565512   0.832931   0.98200  2314.1  0.0693425 
 0.9989489799   0.839098   0.98195  2318.4  0.0696321 
 0.9989413778   0.845291   0.98190  2322.7  0.0699220 
 0.9989337449   0.851510   0.98185  2327.0  0.0702121 
 0.9989260812   0.857755   0.98180  2331.3  0.0705027 
 0.9989183865   0.864027   0.98175  2335.6  0.0707935 
 0.9989106612   0.870326   0.98170  2339.8  0.0710797 
 0.9989029056   0.876650   0.98165  2344.0  0.0713648 
 0.9988951198   0.883000   0.98160  2348.2  0.0716502 
 0.9988873036   0.889377   0.98155  2352.4  0.0719359 
 0.9988794572   0.895779   0.98150  2356.6  0.0722218 
